,poem
Он в бранном пламени скакал.
Зари багряной полоса
Объемлет ярко небеса.
Блеснули долы, холмы, нивы,
Вершины рощ и волны рек.
Раздался утра шум игривый,
И пробудился человек.
Еще Мария сладко дышит,
Дремой объятая, и слышит
Сквозь легкой сон, что кто-то к ней
Вошел и ног ее коснулся.
Она проснулась — но скорей
С улыбкой взор ее сомкнулся
От блеска утренних лучей.
Мария руки протянула
И с негой томною шепнула:
«Мазепа, ты?…» Но голос ей
Иной ответствует… о боже!
Вздрогнув, она глядит… и что же?
Пред нею мать…
М а т ь.
Молчи, молчи;
Не погуби нас: я в ночи
Сюда прокралась осторожно
С единой, слезною мольбой.
Сегодня казнь. Тебе одной
Свирепство их смягчить возможно.
Спаси отца.
Д о ч ь, в ужасе
Какой отец?
Какая казнь?
М а т ь.
Иль ты доныне
Не знаешь?… нет! ты не в пустыне,
Ты во дворце; ты знать должна,
Как сила гетмана грозна,
Как он врагов своих карает.
Как государь ему внимает…
Но вижу: скорбную семью
Ты отвергаешь для Мазепы;
Тебя я сонну застаю,
Когда свершают суд свирепый,
Когда читают приговор,
Когда готов отцу топор…
Друг другу, вижу, мы чужие…
Опомнись, дочь моя! Мария,
Беги, пади к его ногам,
Спаси отца, будь ангел нам:
Твой взгляд злодеям руки свяжет,
Ты можешь их топор отвесть.
Рвись, требуй — гетман не откажет:
Ты для него забыла честь,
Родных и бога.
Д о ч ь.
Что со мною?
Отец… Мазепа… казнь — с мольбою
Здесь, в этом замке мать моя —
Нет, иль ума лишилась я,
Иль это грезы.
М а т ь.
Бог с тобою,
Нет, нет — не грезы, не мечты.
Ужель еще не знаешь ты,
Что твой отец ожесточенный
Бесчестья дочери не снес
И, жаждой мести увлеченный,
Царю на гетмана донес…
Что в истязаниях кровавых
Сознался в умыслах лукавых,
В стыде безумной клеветы,
Что, жертва смелой правоты,
Врагу он выдан головою,
Что пред громадой войсковою,
Когда его не осенит
Десница вышняя господня,
Он должен быть казнен сегодня,
Что здесь покаместь он сидит
В тюремной башне.
Д о ч ь.
Боже, боже!…
Сегодня! — бедный мой отец!
И дева падает на ложе,
Как хладный падает мертвец.
Пестреют шапки. Копья блещут.
Бьют в бубны. Скачут сердюки.
В строях ровняются полки.
Толпы кипят. Сердца трепещут.
Дорога, как змеиный хвост,
Полна народу, шевелится.
Средь поля роковой намост.
На нем гуляет, веселится
Палач и алчно жертвы ждет:
То в руки белые берет,
Играючи, топор тяжелый,
То шутит с чернию веселой.
В гремучий говор всё слилось:
Крик женской, брань, и смех, и ропот.
Вдруг восклицанье раздалось
И смолкло всё. Лишь конской топот
Был слышен в грозной тишине.
Там, окруженный сердюками,
Вельможный гетман с старшинами
Скакал на вороном коне.
А там по киевской дороге
Телега ехала. В тревоге
Все взоры обратили к ней.
В ней, с миром, с небом примиренный,
Могущей верой укрепленный
Сидел безвинный Кочубей,
С ним Искра тихой, равнодушный,
Как агнец, жребию послушный.
Телега стала. Раздалось
Моленье ликов громогласных.
С кадил куренье поднялось.
За упокой души несчастных
Безмолвно молится народ,
Страдальцы за врагов. И вот
Идут они, взошли. На плаху,
Крестясь, ложится Кочубей.
Как будто в гробе, тьмы людей
Молчат. Топор блеснул с размаху,
И отскочила голова.
Всё поле охнуло. Другая
Катится вслед за ней, мигая.
Зарделась кровию трава —
И сердцем радуясь во злобе
Палач за чуб поймал их обе
И напряженною рукой
Потряс их обе над толпой.
Свершилась казнь. Народ беспечный
Идет, рассыпавшись, домой
И про свои заботы вечны
Уже толкует меж собой.
Пустеет поле понемногу.
Тогда чрез пеструю дорогу
Перебежали две жены.
Утомлены, запылены,
Они, казалось, к месту казни
Спешили полные боязни.
«Уж поздно», — кто-то им сказал
И в поле перстом указал.
Там роковой намост ломали,
Молился в черных ризах поп,
И на телегу подымали
Два казака дубовый гроб.
Один пред конною толпой
Мазепа, грозен, удалялся
От места казни. Он терзался
Какой-то страшной пустотой.
Никто к нему не приближался,
Не говорил он ничего;
Весь в пене мчался конь его.
Домой приехав, «что Мария?»
Спросил Мазепа. Слышит он
Ответы робкие, глухие…
Невольным страхом поражен,
Идет он к ней; в светлицу входит:
Светлица тихая пуста —
Он в сад, и там смятенный бродит;
Но вкруг широкого пруда,
В кустах, вдоль сеней безмятежных
Все пусто, нет нигде следов —
Ушла! — Зовет он слуг надежных,
Своих проворных сердюков.
Они бегут. Храпят их кони —
Раздался дикой клик погони,
Верхом — и скачут молодцы
Во весь опор во все концы.
Бегут мгновенья дорогие.
Не возвращается Мария.
Никто не ведал, не слыхал,
Зачем и как она бежала…
Мазепа молча скрежетал.
Затихнув, челядь трепетала.
В груди кипучий яд нося,
В светлице гетман заперся.
Близь ложа там во мраке ночи
Сидел он, не смыкая очи,
Нездешней мукою томим.
Поутру, посланные слуги
Один явились за другим.
Чуть кони двигались. Подпруги,
Подковы, узды, чепраки,
Всё было пеною покрыто,
В крови, растеряно, избито —
Но ни один ему принесть
Не мог о бедной деве весть.
И след ее существованья
Пропал как будто звук пустой,И мать одна во мрак изгнанья
Умчала горе с нищетой.
ПЕСНЬ ТРЕТИЯ
Души глубокая печаль
Стремиться дерзновенно в даль
Вождю Украйны не мешает.
Твердея в умысле своем,
Он с гордым шведским королем
Свои сношенья продолжает.
Меж тем, чтоб обмануть верней
Глаза враждебного сомненья,
Он, окружась толпой врачей,
На ложе мнимого мученья
Стоная молит исцеленья.
Плоды страстей, войны, трудов
Болезни, дряхлость и печали,
Предтечи смерти, приковали
Его к одру. Уже готов
Он скоро бренный мир оставить;
Святой обряд он хочет править,
Он архипастыря зовет
К одру сомнительной кончины;
И на коварные седины
Елей таинственный течет.
Но время шло. Москва напрасно
К себе гостей ждала всечасно,
Средь старых, вражеских могил
Готовя шведам тризну тайну.
Незапно Карл поворотил
И перенес войну в Украйну.
И день настал. Встает с одра
Мазепа, сей страдалец хилый,
Сей труп живой, еще вчера
Стонавший слабо над могилой.
Теперь он мощный враг Петра.
Теперь он, бодрый, пред полками
Сверкает гордыми очами
И саблей машет — и к Десне
Проворно мчится на коне.
Согбенный тяжко жизнью старой,
Так оный хитрый кардинал,
Венчавшись римскою тиарой,
И прям, и здрав, и молод стал.
И весть на крыльях полетела.
Украйна смутно зашумела:
«Он перешел, он изменил,
К ногам он Карлу положил
Бунчук покорный». Пламя пышет,
Встает кровавая заря
Войны народной.
Кто опишет
Негодованье, гнев царя?
Гремит анафема в соборах;
Мазепы лик терзает кат.
На шумной раде, в вольных спорах
Другого гетмана творят.
С брегов пустынных Енисея
Семейства Искры, Кочубея
Поспешно призваны Петром.
Он с ними слезы проливает.
Он их, лаская, осыпает
И новой честью и добром.
Мазепы враг, наездник пылкий,
Старик Палей из мрака ссылки
В Украйну едет в царский стан.
Трепещет бунт осиротелый.
На плахе гибнет Чечель смелый
И запорожский атаман.
И ты, любовник бранной славы,
Для шлема кинувший венец,
Твой близок день, ты вал Полтавы
Вдали завидел наконец.
И царь туда ж помчал дружины.
Они как буря притекли —
И оба стана средь равнины
Друг друга хитро облегли.
Не раз избитый в схватке смелой,
Заране кровью опьянелый,
С бойцом желанным наконец
Так грозный сходится боец.
И злобясь видит Карл могучий
Уж не расстроенные тучи
Несчастных нарвских беглецов,
А нить полков блестящих, стройных
Послушных, быстрых и спокойных,
И ряд незыблемый штыков.
Но он решил: заутра бой.
Глубокой сон во стане шведа.
Лишь под палаткою одной
Ведется шопотом беседа.
«Нет, вижу я, нет, Орлик мой,
Поторопились мы некстати:
Расчет и дерзкой и плохой,
И в нем не будет благодати.
Пропала, видно, цель моя.
Что делать? Дал я промах важный:
Ошибся в этом Карле я.
Он мальчик бойкой и отважный;
Два-три сраженья разыграть,
Конечно, может он с успехом,
К врагу на ужин прискакать,
Ответствовать на бомбу смехом;
Не хуже русского стрелка
Прокрасться в ночь ко вражью стану;
Свалить как нынче казака
И обменять на рану рану;
Но не ему вести борьбу
С самодержавным великаном:
Как полк, вертеться он судьбу
Принудить хочет барабаном;
Он слеп, упрям, нетерпелив,
И легкомыслен, и кичлив,
Бог весть какому счастью верит;
Он силы новые врага
Успехом прошлым только мерит —
Сломить ему свои рога.
Стыжусь: воинственным бродягой
Увлекся я на старость лет;
Был ослеплен его отвагой
И беглым счастием побед,
Как дева робкая.»
О р л и к.
Сраженья
Дождемся. Время не ушло
С Петром опять войти в сношенья:
Еще поправить можно ало.
Разбитый нами, нет сомненья,
Царь не отвергнет примиренья.
М а з е п а.
Нет, поздно. Русскому царю
Со мной мириться невозможно.
Давно решилась непреложно
Моя судьба. Давно горю
Стесненной злобой. Под Азовым
Однажды я с царем суровым
Во ставке ночью пировал:
Полны вином кипели чаши,
Кипели с ними речи наши.
Я слово смелое сказал.
Смутились гости молодые…
Царь, вспыхнув, чашу уронил
И за усы мои седые
Меня с угрозой ухватил.
Тогда, смирясь в бессильном гневе,
Отмстить себе я клятву дал;
Носил ее — как мать во чреве
Младенца носит. Срок настал.
Так, обо мне воспоминанье
Хранить он будет до конца.
Петру я послан в наказанье;
Я терн в листах его венца:
Он дал бы грады родовые
И жизни лучшие часы,
Чтоб снова как во дни былы
Держать Мазепу за усы.
Но есть еще для нас надежды:
Кому бежать, решит заря.
Умолк и закрывает вежды
Изменник русского царя.
Горит восток зарею новой
Уж на равнине, по холмам
Грохочут пушки. Дым багровый
Кругами всходит к небесам
Навстречу утренним лучам.
Полки ряды свои сомкнули.
В кустах рассыпались стрелки.
Катятся ядра, свищут пули;
Нависли хладные штыки.
Сыны любимые победы,
Сквозь огнь окопов рвутся шведы;
Волнуясь, конница летит;
Пехота движется за нею
И тяжкой твердостью своею
Ее стремление крепит.
И битвы поле роковое
Гремит, пылает здесь и там,
Но явно счастье боевое
Служить уж начинает нам.
Пальбой отбитые дружины,
Мешаясь, падают во прах.
Уходит Розен сквозь теснины;
Сдается пылкой Шлипенбах.
Тесним мы шведов рать за ратью;
Темнеет слава их знамен,
И бога браней благодатью
Наш каждый шаг запечатлен.
Тогда-то свыше вдохновенный
Раздался звучный глас Петра:
«За дело, с богом!» Из шатра,
Толпой любимцев окруженный,
Выходит Петр. Его глаза
Сияют. Лик его ужасен.
Движенья быстры. Он прекрасен,
Он весь, как божия гроза.
Идет. Ему коня подводят.
Ретив и смирен верный конь.
Почуя роковой огонь,
Дрожит. Глазами косо водит
И мчится в прахе боевом,
Гордясь могущим седоком.
Уж близок полдень. Жар пылает.
Как пахарь, битва отдыхает.
Кой-где гарцуют казаки.
Ровняясь строятся полки.
Молчит музыка боевая.
На холмах пушки присмирев
Прервали свой голодный рев.
И се — равнину оглашая
Далече грянуло ура:
Полки увидели Петра.
И он промчался пред полками,
Могущ и радостен как бой.
Он поле пожирал очами.
За ним вослед неслись толпой
Сии птенцы гнезда Петрова —
В пременах жребия земного
В трудах державства и войны
Его товарищи, сыны;
И Шереметев благородный,
И Брюс, и Боур, и Репнин,
И, счастья баловень безродный
Полудержавный властелин.
И перед синими рядами
Своих воинственных дружин,
Несомый верными слугами,
В качалке, бледен, недвижим,
Страдая раной, Карл явился.
Вожди героя шли за ним.
Он в думу тихо погрузился
Смущенный взор изобразил
Необычайное волненье.
Казалось, Карла приводил
Желанный бой в недоуменье…
Вдруг слабым манием руки
На русских двинул он полки.
И с ними царские дружины
Сошлись в дыму среди равнины:
И грянул бой, Полтавской бой!
В огне, под градом раскаленным,
Стеной живою отраженным,
Над падшим строем свежий строй
Штыки смыкает. Тяжкой тучей
Отряды конницы летучей,
Браздами, саблями звуча,
Сшибаясь, рубятся с плеча.
Бросая груды тел на груду,
Шары чугунные повсюду
Меж ними прыгают, разят,
Прах роют и в крови шипят.
Швед, русский — колет, рубит, режет.
Бой барабанный, клики, скрежет,
Гром пушек, топот, ржанье, стон,
И смерть и ад со всех сторон.
Среди тревоги и волненья
На битву взором вдохновенья
Вожди спокойные глядят,
Движенья ратные следят,
Предвидят гибель и победу
И в тишине ведут беседу.
Но близ московского царя
Кто воин сей под сединами?
Двумя поддержан казаками,
Сердечной ревностью горя,
Он оком опытным героя
Взирает на волненье боя.
Уж на коня не вскочит он,
Одрях в изгнанье сиротея,
И казаки на клич Палея
Не налетят со всех сторон!
Но что ж его сверкнули очи,
И гневом, будто мглою ночи,
Покрылось старое чело?
Что возмутить его могло?
Иль он, сквозь бранный дым, увидел
Врага Мазепу, и в сей миг
Свои лета возненавидел
Обезоруженный старик?
Мазепа, в думу погруженный,
Взирал на битву, окруженный
Толпой мятежных казаков,
Родных, старшин и сердюков.
Вдруг выстрел. Старец обратился
У Войнаровского в руках
Мушкетный ствол еще дымился.
Сраженный в нескольких шагах,
Младой казак в крови валялся,
А конь, весь в пене и пыли,
Почуя волю, дико мчался,
Скрываясь в огненной дали.
Казак на гетмана стремился
Сквозь битву с саблею в руках,
С безумной яростью в очах.
Старик, подъехав, обратился
К нему с вопросом. Но казак
Уж умирал. Потухший зрак
Еще грозил врагу России;
Был мрачен помертвелый лик,
И имя нежное Марии
Чуть лепетал еще язык.
Но близок, близок миг победы.
Ура! мы ломим; гнутся шведы.
О славный час! о славный вид!
Еще напор — и враг бежит.
И следом конница пустилась,
Убийством тупятся мечи,
И падшими вся степь покрылась
Как роем черной саранчи.
Пирует Петр. И горд и ясен
И славы полон взор его.
И царской пир его прекрасен.
При кликах войска своего,
В шатре своем он угощает
Своих вождей, вождей чужих,
И славных пленников ласкает,
И за учителей своих
Заздравный кубок подымает.
Но где же первый, званый гость?
Где первый, грозный наш учитель,
Чью долговременную злость
Смирил полтавский победитель?
И где ж Мазепа? где злодей?
Куда бежал Иуда в страхе?
Зачем король не меж гостей?
Зачем изменник не на плахе?
Верхом, в глуши степей нагих,
Король и гетман мчатся оба.
Бегут. Судьба связала их.
Опасность близкая и злоба
Даруют силу королю.
Он рану тяжкую свою
Забыл. Поникнув головою,
Он скачет, русскими гоним,
И слуги верные толпою
Чуть могут следовать за ним.
Обозревая зорким взглядом
Степей широкой полукруг,
С ним старый гетман скачет рядом.
Пред ними хутор… Что же вдруг
Мазепа будто испугался?
Что мимо хутора помчался
Он стороной во весь опор?
Иль этот запустелый двор,
И дом, и сад уединенный,
И в поле отпертая дверь
Какой-нибудь рассказ забвенный
Ему напомнили теперь?
Святой невинности губитель!
Узнал ли ты сию обитель,
Сей дом, веселый прежде дом,
Где ты, вином разгоряченный,
Семьей счастливой окруженный,
Шутил бывало за столом?
Узнал ли ты приют укромный,
Где мирный ангел обитал,
И сад, откуда ночью тёмной
Ты вывел в степь… Узнал, узнал!
Ночные тени степь объемлют.
На бреге синего Днепра
Между скалами чутко дремлют
Враги России и Петра.
Щадят мечты покой героя,
Урон Полтавы он забыл.
Но сон Мазепы смутен был.
В нем мрачный дух не знал покоя.
И вдруг в безмолвии ночном
Его зовут. Он пробудился.
Глядит: над ним, грозя перстом,
Тихонько кто-то наклонился.
Он вздрогнул как под топором.
Пред ним с развитыми власами,
Сверкая впалыми глазами,
Вся в рубище, худа, бледна,
Стоит, луной освещена…
«Иль это сон?… Мария… ты ли?»
М а р и я.
Ах, тише, тише, друг!… Сейчас
Отец и мать глаза закрыли…
Постой… услышать могут нас.
М а з е п а.
Мария, бедная Мария!
Опомнись! Боже!… Что с тобой?
М а р и я.
Послушай: хитрости какие!
Что за рассказ у них смешной?
Она за тайну мне сказала,
Что умер бедный мой отец,
И мне тихонько показала
Седую голову — творец!
Куда бежать нам от злоречья?
Подумай: эта голова
Была совсем не человечья,
А волчья — видишь: какова!
Чем обмануть меня хотела!
Не стыдно ль ей меня пугать?
И для чего? чтоб я не смела
С тобой сегодня убежать!
Возможно ль?
С горестью глубокой
Любовник ей внимал жестокой.
Но, вихрю мыслей предана,
«Однако ж, — говорит она, —
Я помню поле… праздник шумный…
И чернь… и мертвые тела…
На праздник мать меня вела…
Но где ж ты был?… С тобою розно
Зачем в ночи скитаюсь я?
Пойдем домой. Скорей… уж поздно.
Ах, вижу, голова моя
Полна волнения пустого:
Я принимала за другого
Тебя, старик. Оставь меня.
Твой взор насмешлив и ужасен.
Ты безобразен. Он прекрасен:
В его глазах блестит любовь,
В его речах такая нега!
Его усы белее снега,
А на твоих засохла кровь!…»
И с диким смехом завизжала,
И легче серны молодой
Она вспрыгнула, побежала
И скрылась в темноте ночной.
Редела тень. Восток алел
Огонь казачий пламенел.
Пшеницу казаки варили;
Драбанты у брегу Днепра
Коней расседланных поили.
Проснулся Карл. «Ого! пора!
Вставай, Мазепа. Рассветает.»
Но гетман уж не спит давно.
Тоска, тоска его снедает;
В груди дыханье стеснено.
И молча он коня седлает,
И скачет с беглым королем,
И страшно взор его сверкает,
С родным прощаясь рубежом.
Прошло сто лет — и что ж осталось
От сильных, гордых сих мужей,
Столь полных волею страстей?
Их поколенье миновалось —
И с ним исчез кровавый след
Усилий, бедствий и побед.
В гражданстве северной державы,
В ее воинственной судьбе,
Лишь ты воздвиг, герой Полтавы,
Огромный памятник себе.
В стране — где мельниц ряд крылатый
Оградой мирной обступил
Бендер пустынные раскаты,
Где бродят буйволы рогаты
Вокруг воинственных могил, —
Останки разоренной сени,
Три углубленные в земле
И мхом поросшие ступени
Гласят о шведском короле.
С них отражал герой безумный
Один в толпе домашних слуг,
Турецкой рати приступ шумный,
И бросил шпагу под бунчук;
И тщетно там пришлец унылый
Искал бы гетманской могилы:
Забыт Мазепа с давних пор!
Лишь в торжествующей святыне
Раз в год анафемой доныне,
Грозя, гремит о нем собор.
Но сохранилася могила,
Где двух страдальцев прах почил;
Меж древних праведных могил
Их мирно церковь приютила.
Цветет в Диканьке древний ряд
Дубов, друзьями насажденных;
Они о праотцах казненных
Доныне внукам говорят.
Но дочь преступница… преданья
Об ней молчат. Ее страданья,
Ее судьба, ее конец
Непроницаемою тьмою
От нас закрыты. Лишь порою
Слепой украинский певец,
Когда в селе перед народом
Он песни гетмана бренчит,
О грешной деве мимоходом
Казачкам юным говорит


var "
179,"

. . . . . . . . . строгий свет
Смягчил свои предубежденья,
Или простил мне заблужденья
Давно минувших темных лет.
1830 г.


var "
180,"

Я вас любил: любовь еще, быть может,
В душе моей угасла не совсем;
Но пусть она вас больше не тревожит;
Я не хочу печалить вас ничем.
Я вас любил безмолвно, безнадежно,
То робостью, то ревностью томим;
Я вас любил так искренно, так нежно,
Как дай вам бог любимой быть другим.
1829 г.


var "
181,"

Мальчишка Фебу гимн поднес.
«Охота есть, да мало мозгу.
А сколько лет ему, вопрос?» —
«Пятнадцать».— «Только-то? Эй, розгу!»
За сим принес семинарист
Тетрадь лакейских диссертаций,
И Фебу вслух прочел Гораций,
Кусая губы, первый лист.
Отяжелев, как от дурмана,
Сердито Феб его прервал
И тотчас взрослого болвана
Поставить в палки приказал.
Эпиграмма на Н. И. Надеждина.
1829 г.


var "
182,"

Журналами обиженный жестоко,
Зоил Пахом печалился глубоко;
На цензора вот подал он донос;
Но цензор прав, нам смех, зоилу нос.
Иная брань, конечно, неприличность,
Нельзя писать: Такой-то де старик,
Козел в очках, плюгавый клеветник,
И зол и подл: все это будет личность.
Но можете печатать, например,
Что господин парнасский старовер
(В своих статьях) бессмыслицы оратор,
Отменно вял, отменно скучноват,
Тяжеловат и даже глуповат;
Тут не лицо, а только литератор.
Эпиграмма па М. Т. Каченовского.
1829 г.


var "
183,"

Седой Свистов! 1 ты царствовал со славой;
Пора, пора! сложи с себя венец:
Питомец твой младой, цветущий, здравый,
Тебя сменит, великий наш певец!
Се: внемлет мне маститый собеседник,
Свершается судьбины произвол,
Является младой его наследник:
Свистов II вступает на престол!
Эпиграмма па Н. И. Надеждина как автора тяжеловесных архаичных стихов.
1 Обычная кличка гр. Д. И. Хвостова, покровительствовавшего в то время Н. И. Надеждину.
1829 г.


var "
184,"

Там, где древний Кочерговский 1
Над Ролленем опочил,
Дней новейших Тредьяковский
Колдовал и ворожил:
Дурень, к солнцу став спиною,
Под холодный Вестник 2 свой
Прыскал мертвою водою,
Прыскал ижицу живой.
1 В. К. Тредиаковский как переводчик «Истории» Роллена.
2 «Вестник Европы», журнал, издававшийся М. Т. Каченовским.
1829 г.


var "
185,"

Счастлив ты в прелестных дурах,
В службе, в картах и в пирах;
Ты St.-Priest1 в карикатурах,
Ты Нелединский в стихах;
Ты прострелен на дуэле,
Ты разрублен на войне,—
Хоть герой ты в самом деле,
Но повеса ты вполне.
1 — Гр. Э.-К. Сен-При, любитель-карикатурист.
1829 г.


var "
186,"

Стрекотунья белобока,
Под калиткою моей
Скачет пестрая сорока
И пророчит мне гостей.
Колокольчик небывалый
У меня звенит в ушах,
На заре . . . . . . алой,
Серебрится снежный прах.
1829 г.


var "
187,"

Страшно и скучно.
Здесь новоселье,
Путь и ночлег.
Тесно и душно.
В диком ущелье —
Тучи да снег.
Солнце не светит,
Небо чуть видно,
Как из тюрьмы.
Солнцу обидно.
Путник не встретит
Окроме тьмы
. . . . . . . .
1829 г.


var "
188,"

Какие крохотны коровки!
Есть, право, менее булавочной головки.
Крылов
Мое собранье насекомых
Открыто для моих знакомых:
Ну, что за пестрая семья!
За ними где ни рылся я!
Зато какая сортировка!
Вот ** — божия коровка,
Вот **** — злой паук,
Вот и ** — российский жук,
Вот ** — черная мурашка,
Вот ** — мелкая букашка.
Куда их много набралось!
Опрятно за стеклом и в рамах
Они, пронзенные насквозь,
Рядком торчат на эпиграммах.
Предлагалось несколько расшифровок пушкинских звездочек. Наиболее общепринятой является данная М. П. Погодиным!
Вот Глинка — божия коровка,
Вот Каченовский — злой паук.
Вот и Свииьин — российский жук,
Вот Олин — черная мурашка,
Вот Раич — мелкая букашка.
1829 г.


var "
189,"

Картину раз высматривал сапожник
И в обуви ошибку указал;
Взяв тотчас кисть, исправился художник.
Вот, подбочась, сапожник продолжал:
«Мне кажется, лицо немного криво…
А эта грудь не слишком ли нага?»…
Тут Апеллес прервал нетерпеливо:
«Суди, дружок, не свыше сапога!»
Есть у меня приятель на примете:
Не ведаю, в каком бы он предмете
Был знатоком, хоть строг он на словах,
Но черт его несет судить о свете:
Попробуй он судить о сапогах!
Эпиграмма на Н. И. Надеждина, вызванная его статьей о «Полтаве».
1829 г.


var "
190,"

Я ехал к вам: живые сны
За мной вились толпой игривой,
И месяц с правой стороны
Сопровождал мой бег ретивый.
Я ехал прочь: иные сны…
Душе влюбленной грустно было,
И месяц с левой стороны
Сопровождал меня уныло.
Мечтаныо вечному в тиши
Так предаемся мы, поэты;
Так суеверные приметы
Согласны с чувствами души.
1829 г.


var "
191,"

Кто на снегах возрастил Феокритовы нежные розы?
В веке железном, скажи, кто золотой угадал?
Кто славянин молодой, грек духом, а родом германец?1
Вот загадка моя: хитрый Эдип, разреши!
1 Имеется в виду А. А. Дельвиг.
1829 г.


var "
192,"

Поэт-игрок, о Беверлей-Гораций,
Проигрывал ты кучки ассигнаций,
И серебро, наследие отцов,
И лошадей, и даже кучеров —
И с радостью на карту б, на злодейку,
Поставил бы тетрадь своих стихов,
Когда б твой стих ходил хотя в копейку.
Эпиграмма на Великопольского. Беверлей — игрок, действующее лицо драмы Сорена «Беверлей».
1829 г.


var "
193,"

Поедем, я готов; куда бы вы, друзья,
Куда б ни вздумали, готов за вами я
Повсюду следовать, надменной убегая:
К подножию ль стены далекого Китая,
В кипящий ли Пария?, туда ли наконец,
Где Тасса не поет уже ночной гребец,
Где древних городов под пеплом дремлют мощи,
Где кипарисные благоухают рощи,
Повсюду я готов. Поедем… но, друзья,
Скажите: в странствиях умрет ли страсть моя?
Забуду ль гордую, мучительную деву,
Или к ее ногам, ее младому гневу,
Как дань привычную, любовь я принесу?
. . . . . . . . . . . . . . . .
1829 г.


var "
194,"

Подъезжая под Ижоры,
Я взглянул на небеса
И воспомнил ваши взоры,
Ваши синие глаза.
Хоть я грустно очарован
Вашей девственной красой,
Хоть вампиром именован
Я в губернии Тверской,
Но колен моих пред вами
Преклонить я не посмел
И влюбленными мольбами
Вас тревожить не хотел.
Упиваясь неприятно
Хмелем светской суеты,
Позабуду, вероятно,
Ваши милые черты,
Легкий стан, движений стройность,
Осторожный разговор,
Эту скромную спокойность,
Хитрый смех и хитрый взор.
Если ж нет… по прежню следу
В ваши мирные края
Через год опять заеду
И влюблюсь до ноября.
Обращено к Е. В. Вельяшевой, двоюродной сестре А. Н. Вульфа.
1829 г.


var "
195,"

Опять увенчаны мы славой,
Опять кичливый враг сражен,
Решен в Арзруме спор кровавый,
В Эдырне1 мир провозглашен.
И дале двинулась Россия,
И юг державно облегла,
И пол-Эвксина 2 вовлекла
В свои объятия тугие.
Восстань 3, о Греция, восстань.
Недаром напрягала силы,
Недаром потрясала брань
Олимп и Пинд и Фермопилы.
При пенье пламенных стихов
Тиртея, Байрона и Риги 4
Страна героев и богов
Расторгла рабские вериги.
Под сенью ветхой их вершин
Свобода юная возникла,
На гробах . . . . . . . . . . . Перикла,
На . . . . . . . . . . . мраморных Афин.
1 Турецкое название Адрианополя.
2 Эвксин — Черное море.
3 Здесь в значении: встань, подымись.
4 К. Ригас — новогреческий поэт, автор гимнов, воспевавших свободу Греции. Стихотворение написано в связи с заключением Адрианопольского мира, по которому Греция получила независимость.
1829 г.


var "
196,"

Когда ко граду Константина
С тобой, воинственный варяг,
Пришла славянская дружина
И развила победы стяг,
